"","Date","Marino"
"648",2012-10-09,16.7
"649",2012-10-10,16
"650",2012-10-11,5.6
"651",2012-10-12,8.2
"652",2012-10-13,12.1
"653",2012-10-14,10.1
"654",2012-10-15,6.7
"655",2012-10-16,3.2
"656",2012-10-17,7.4
"657",2012-10-18,7.4
"658",2012-10-19,8.51839150227618
"659",2012-10-20,8.51839150227618
"660",2012-10-21,8.51839150227618
"661",2012-10-22,8.51839150227618
"662",2012-10-23,8.51839150227618
"663",2012-10-24,8.51839150227618
"664",2012-10-25,8.51839150227618
"665",2012-10-26,4
"666",2012-10-27,4
"667",2012-10-28,1.8
"668",2012-10-29,2.8
"669",2012-10-30,5.8
"670",2012-10-31,26.9
"671",2012-11-01,12.6
"672",2012-11-02,9.9
"673",2012-11-03,4.7
"674",2012-11-04,4.3
"675",2012-11-05,5.1
"676",2012-11-06,5
"677",2012-11-07,2.1
"678",2012-11-08,3.1
"679",2012-11-09,4.4
"680",2012-11-10,9.6
"681",2012-11-11,9.4
"682",2012-11-12,3.7
"683",2012-11-13,3.1
"684",2012-11-14,8.7
"685",2012-11-15,16.4
"686",2012-11-16,12.4
"687",2012-11-17,6.4
"688",2012-11-18,3.3
"689",2012-11-19,0.4
"690",2012-11-20,4.4
"691",2012-11-21,5.8
"692",2012-11-22,8.51839150227618
"693",2012-11-23,7.1
"694",2012-11-24,12.6
"695",2012-11-25,3.3
"696",2012-11-26,8.51839150227618
"697",2012-11-27,1.3
"698",2012-11-28,11.9
"699",2012-11-29,22.4
"700",2012-11-30,32.8
"701",2012-12-01,21.1
"702",2012-12-02,21.4
"703",2012-12-03,6.4
"704",2012-12-04,7.2
"705",2012-12-05,19.2
"706",2012-12-06,10
"707",2012-12-07,10.6
"708",2012-12-08,13.5
"709",2012-12-09,14.4
"710",2012-12-10,22.5
"711",2012-12-11,18.5
"712",2012-12-12,9.4
"713",2012-12-13,11.8
"714",2012-12-14,9.7
"715",2012-12-15,8.8
"716",2012-12-16,8.9
"717",2012-12-17,8.6
"718",2012-12-18,13.5
"719",2012-12-19,13.3
"720",2012-12-20,11.7
"721",2012-12-21,18.9
"722",2012-12-22,6.8
"723",2012-12-23,7.2
"724",2012-12-24,6.5
"725",2012-12-25,7.6
"726",2012-12-26,4.9
"727",2012-12-27,6
"728",2012-12-28,5.1
"729",2012-12-29,4.9
"730",2012-12-30,3.5
"731",2012-12-31,6.7
